Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Description
Library,,,,"VMware, Inc.",org.springframework.boot,spring-boot-starter-logging,3.1.1,,Apache-2.0,,,,pkg:maven/org.springframework.boot/spring-boot-starter-logging@3.1.1?type=jar,False,,,,,,,,,,71950dd9f63e35df04bc596a6102a7f3,53bb456e4bf8f751de5a6ce154707b052946fd43,467dfbead9165adfb50df58917954d0dea9cb32038dc8bc23e4911c8fd1028e9,397bfe1ee1010b7e40ba051cc26fa4dcfc4293ae7b6a8e38ff4b405f7dc15bd6aa85e018417e7a85293cf1fe49c2454a,216ee886b039123fc4e7e5555c69ed11645459bb76dabda2ae86df5b523b071834b40cf4df32a91606420e40d2084e3b0e5946c8c3eb68b28614d13e3143469f,0fddd9eaf7ef96b4e390556dffe2fde979bae82c71cc941a817413ebb0f3f5e4,499e90a61eebe07f245e560829f010e2fa8f1875a5edf9254cd39aed7ff3f9bd8722cbb1db1ea70c576a43612007f915,b034b7d9e3f8b743507c1c43ed9968bec00fa43e4732b4af1cd0379e436a7e124117a080a093e5de19d07f76e52d4343a0a74840dc0786edeb439b2b74509939,,,,,Starter for logging using Logback. Default logging starter
Library,,,,"VMware, Inc.",org.springframework.boot,spring-boot-autoconfigure,3.1.1,,Apache-2.0,,,,pkg:maven/org.springframework.boot/spring-boot-autoconfigure@3.1.1?type=jar,False,,,,,,,,,,098320602f039c3db4eb82fd88fc8036,618ec717eef4ba2ff347c7713150aac8e73fe233,0b50df9077898c6f1846acf08c6f8bfda101fb4c1bb417d795fb0c4a1ca1089b,1209d3639ab7e1122d85ccd7d12ac37f5bfb6c2bf5609572762ea3c10403e1bd9f2b2c22a6f7dac4af7459a9f21c52b6,74ceb20412c17ed5c9519287931a2e5b6dd7ae20064fce18d2cf1e698390250382d75f573a52e0aae538f648d171aed27f070a644c3558b404ba979c80d253b7,7866399c518b4d63a23566d800fa1417a966cab25893600660f76545a2437dd5,3f1587fb77f8dcd22073124aba92d08824566b0a78b55d88956ea07e2c2f7650a54a6f265b2174322e5ef806078965bb,f9f5763242766c826ee7456e338ce50b9e689ff3a04796be70b39743cfd5f8a3b0e60f71d6c8095dc70e63c4365d8024b01d0e27eaa8f664575c344bb566bb34,,,,,Spring Boot AutoConfigure
Library,,,,,jakarta.annotation,jakarta.annotation-api,2.1.1,,"EPL-2.0,GPL-2.0-with-classpath-exception",,,,pkg:maven/jakarta.annotation/jakarta.annotation-api@2.1.1?type=jar,False,,,,,,,,,,5dac2f68e8288d0add4dc92cb161711d,48b9bda22b091b1f48b13af03fe36db3be6e1ae3,5f65fdaf424eee2b55e1d882ba9bb376be93fb09b37b808be6e22e8851c909fe,798597a6b80b423844d70609c54b00d725a357031888da7e5c3efd3914d1770be69aa7135de13ddb89a4420a5550e35b,eabe8b855b735663684052ec4cc357cc737936fa57cebf144eb09f70b3b6c600db7fa6f1c93a4f36c5994b1b37dad2dfcec87a41448872e69552accfd7f52af6,f71ffc2a2c2bd1a00dfc00c4be67dbe5f374078bd50d5b24c0b29fbcc6634ecb,9629b8ca82f61674f5573723bbb3c137060e1442062eb52fa9c90fc8f57ea7d836eb2fb765d160ec8bf300bcb6b820be,aa4e29025a55878db6edb0d984bd3a0633f3af03fa69e1d26c97c87c6d29339714003c96e29ff0a977132ce9c2729d0e27e36e9e245a7488266138239bdba15e,,,,,Jakarta Annotations API
Library,,,,,com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.15.2,,Apache-2.0,,,,pkg:maven/com.fasterxml.jackson.datatype/jackson-datatype-jsr310@2.15.2?type=jar,False,,,,,,,,,,94d6cec0fe6ad8b81752beb500bd4bbc,30d16ec2aef6d8094c5e2dce1d95034ca8b6cb42,7574c81ad570476ef6aad26f419288fd466733f3315bee3012f2f29c9dc008c8,38a75ac595705f1f518c461009280318fbe85b3aab04a68b15e736b3365e20ea17c5db28e46da0d89673b223307b800f,3036ff042d09342d36e90960103ec57c77549b85e2c370dfdd57673195141fea6edbac29fa598cc1d1edf56e4d457b7b838dcdc3f50acae1cc70b5905e075301,a6991fef42c63f2f16758232fc2e6855bad4d21ec8cefb26a3a6308cf40d1388,5f73012de6ca68e69e21bac475a9ed504e1923abf15fb73da56576c0b381d9913bb51ad45906988c085ef03487b4d774,730eb8e065c28d87f313a9659d261b38827752a7e84dc27ef074efbdddd954a69c6a91052680cd23f056dd6778f7a3fc66bf17a92b557f35d38f69e114e5b737,,,,,Add-on module to support JSR-310 (Java 8 Date & Time API) data types.
Library,,,,"VMware, Inc.",org.springframework.boot,spring-boot-starter-tomcat,3.1.1,,Apache-2.0,,,,pkg:maven/org.springframework.boot/spring-boot-starter-tomcat@3.1.1?type=jar,False,,,,,,,,,,c94bbca30716890e65ae70aa56bd8a8f,927f80fb9d8816209420223d1a1a09e730ea78e6,3ddb7fd3600631457c802f2309c1794305b8b936ec866c0281d42897af12984f,3d4418104502f4ee90c125505d21df51c8739cfbdcd97ddde1b39e5f349f32c4c22523c2a1c8fa50c425ca67355b8467,a3596d237cac35ff8435ae9c192ba1e9dc5a100f9c228c6db60b0c315f35be7a890d5ef145d8fcde7b04d7ffe6224d740dd5f998ad33f5c0feb27c2c262d3d29,d12f6e16703120f8c52a922612eed8b8e4fc0d77f860018f485f8b4d0670fa43,63d31448e0959407c8f7e74e98f4fb9d16e1088d263f688427690f48fab0bd78e0ad69175da7a0fb87e3444915ee45d8,c395112465c78bfb6f69785b07f4ad80de6a593226d5a6d078f5488b12c5e207c03aafc6d939516670eae779d1f7848f9bf887c9f30625cc53f6596c9c1b97a2,,,,,Starter for using Tomcat as the embedded servlet container. Default servlet container starter used by spring-boot-starter-web
Library,,,,,org.apache.tomcat.embed,tomcat-embed-websocket,10.1.10,,Apache-2.0,,,,pkg:maven/org.apache.tomcat.embed/tomcat-embed-websocket@10.1.10?type=jar,False,,,,,,,,,,32ef8a36fe8c8022aa402903ceffaa60,10604119402bcaa8490b638698ad177f8df4c50c,09785bdd08dc81744ade48b46afb29f9f146f112703eb013c7127e34373c8816,151d2931eb27258b2b2de052bbcce827d5feb6ae61375c0cb5d30a42142c030be0fb14200987e95870d422deaedc192c,98d0770400880d42684b0c80bae9c6d49134a59b8aec962e554a48a657aae471a7b496e4122c24fa2b9ea3e928f834395ba9783839527f0f47cf8cb3b06ceeee,b21f2dc8d32071fe967ef9af430a77e63b89d38258f92d4ef2fff887d5576ddb,e3556927db493c4d5bab24ddc1d8659fc055fe6e070ddba5d297420ea47e592127dfc362fe46fbc4cb7841fcdf321783,dc5d429b710789cf5cdc83cee1d3d9bae2e29cd4be1c118b7fab2a791f3d5ff18eac69594cf436fc84c795368225bdd7676e21392af5196a4be8b3e7df857929,,,,,Core Tomcat implementation
Library,,,,Spring IO,org.springframework,spring-context,6.0.10,,Apache-2.0,,,,pkg:maven/org.springframework/spring-context@6.0.10?type=jar,False,,,,,,,,,,c174565de5f19d437130d8b6553a62f4,e2bd59f05c95647a274b7719d419cf8fde6f25a0,7621b05384de2f2faf77403fc46964a57c0c040c265681c3a897386390f130b9,3b7d1c087a2a8d6bd7570727feb50bfb0ebeb0ef09e48c63796a8955b401c610a08268c82831dfc7733dd9842d056a6c,58d8dea93bbc9861c925ed9c5d8bc7e2aa98e9efc9763690f2f677ee269e6bc27a700840cf4336fe433c72a363c0618f534526e60d8ec2dc1a0dc2d768e8e70d,874f062f2c17965f7b7a320ba8f0319aecfae90fb3eb507897ca6295e647f531,c944de64f1cfb5ebda34f2a51a2633e801a40acc197601054347877f7ffa13e3296c923f0233a982715a25e95e6386d5,8e7d3e7cae70dc9dddbce35153736ff19bef0f72fd19e29ddff16848ec59cc6494b1b4c79280b8331162f75e0908378eed34f718553ca323ca8d668196a74df0,,,,,Spring Context
Library,,,,,org.apache.logging.log4j,log4j-api,2.20.0,,Apache-2.0,,,,pkg:maven/org.apache.logging.log4j/log4j-api@2.20.0?type=jar,False,,,,,,,,,,f9446464667f0139b839b5e9da37f5b9,1fe6082e660daf07c689a89c94dc0f49c26b44bb,2f43eea679ea66f14ca0f13fec2a8600ac124f5a5231dcb4df8393eddcb97550,12b05c61f49caab0b845e93967228a3bd3ab096c4ea1516cb7263f49963137a688a178ddebe790ccc3c0c73f2d4440fc,851016b38421d21864bb3073089c44000f941bfbaa9dc518db7bf7fb3c7f942bfb2c0c7b832e375e82b2f285379bd0935e42aa1833817daacb4fca2a6a9500bc,2047730cb45c594da67d019cbd9f379e1d409a574deadfc9bc907461047f1fde,87151e10c182a828d06fb5299361f01091f5ff066c3d8ba1fac0358d40c370a06ea46d9d93613499ebf94a855aef2f41,5fde3529958bd5e9567f0dc6015c58621521641cfe0517eb1237413c750558415fdeb45cc1b4332c3d1f09938fc8fe327de86cc876ed52594c216d2c04c9d2d5,,,,,The Apache Log4j API
Library,,,,,org.slf4j,slf4j-api,2.0.7,,MIT,,,,pkg:maven/org.slf4j/slf4j-api@2.0.7?type=jar,False,,,,,,,,,,403dffa46cdd2e3c82da19df4f394a4c,41eb7184ea9d556f23e18b5cb99cad1f8581fc00,5d6298b93a1905c32cda6478808ac14c2d4a47e91535e53c41f7feeb85d946f4,c25b39f418aa726ba8405dfd9b356131f89984e2ef5a55a724a2abf3b7c78443f671105835161d2414d602cf03da9f2d,216d2cac27d501972c888f94dfa747d700b80d60813884b6ab4b12c6a3b17ed0c21a1d27e1aa4332c97c828f20039e3913d2763d7e1a3cef36ae4389a276e7a8,6e00d4b264a2afc4ca4e98f716ecece66c32c626ca3f8c5d56b22092b6fe417b,f33abfaac21badae6f85d3ebbc6c1204fd7fda3bb15173e763fa8cee95bce6a8270eec2c8f49343c66c8d2767bc317e1,ad7b9142d370fc532a07cdd43881a129b012ff50e2bede3ac27d9bd31ec707bf2f45e82002fa59e962955cc38ab73cdd77713fca50cedc926c046f5617c1285b,,,,,The slf4j API
Library,,,,Spring IO,org.springframework,spring-core,6.0.10,,Apache-2.0,,,,pkg:maven/org.springframework/spring-core@6.0.10?type=jar,False,,,,,,,,,,5dae840cba7438aae43d780858274e89,889aa214b6607763ddeb6bd391d682cd71681b36,1c0a6bf9cccfa8bbe6ab49c13963c1abb2edff81d88b1af7462617ddc7c0975d,aa0ed6625f91171d4a33b00f8910236cbc4c8dbae55f88888c9c78a259c09f63dc33a922b940aeeb83bb445ca27aeb52,5e32a26f3a8b550bd987450aeed8c4599ad04cf1ae1501f4240556c588ad9bd1217795ae36174303318ea72e2ef7ff033f67d78f87d14306835767023c1dfa01,1dc4d232649fa67faba65a95dfbeb5132b038488660e88f3b311886a3a6bac16,ec6f50258abb2279507694e909e5b0de894d5feaf716a836b3cc396d733d22d86e9a5d1db62673bb649f9752448523e8,76d81510c17e432a3ceba82afc93dc74a77ba70fd964b1c3de42e643b7fd8c60905fa7644d2fb2398639779052d18dadfa69f55973eaedd22fa5c5b2b43fbb37,,,,,Spring Core
Library,,,,,org.apache.tomcat.embed,tomcat-embed-core,10.1.10,,Apache-2.0,,,,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.10?type=jar,False,,,,,,,,,,0a7406ed5d082109b973dbac4de22b2b,7423236b34aa78d6f36592b2aa294d7c8469f219,7c50655e94ca4e32ffc9ee0f96aa378722a145fe063cda2f2c3ae307be27196b,d0213ada3f8e2724a1061be3a8c7611f8b9c61f6820edb8a496936aa0c6a74ded6be6aac931c447edb006e1d91cbe061,91c11ab122d7c166ca0cba744a95437ae29562e2171758d826201ef8b55abb25302e2c9714f18138febc2ce53690d30e9583a455455a2d97386e7a61799d5b6a,60a95f1b1a82f9c4ca5e3e13ad16be627416fbb1627731a91fdceab8265a4aa8,304a2a5419d0c5cc469efbce19757a6b81ea3fc803975d75afc5e582b2f71b43159277513ea3acde9a53727be7a487c9,7e90cd225d759e6fadb69c852f07ea81699e2a621f9c4e33bb883b0d8c61e0e7aabbea3958a9e707ee25a80f1b340f12d0c57b9d4dd273d2e53ff18fe2709e26,,,,,Core Tomcat implementation
Library,,,,,ch.qos.logback,logback-core,1.4.8,,EPL-1.0,GNU Lesser General Public License,,,pkg:maven/ch.qos.logback/logback-core@1.4.8?type=jar,False,,,,,,,,,,b45855e7af9196f7fb92fddab4493dac,3fba9c105e0efc5ffdcda701379687917d5286f7,123453142b41b627bc0d035d1fee8c1ed4deafacfbdacbe3a238934c19a0627a,ea0d1445c6024d896d2932d095d2b28c82ec990b7e9a7d7621beca45ccb23105a5e167db01cc76d806a9e17fff12d34e,1b344c8c62adde467187c4b145323889968e5fdc7873889d5a29de051498f17f2ecc351f7bf4f9f0670964043b0b1cc29772756f03185edefacf5ddd215a9165,58958bc47d2f71ca3d363a704f7cc9e0771715534175556113ffdde46ca58b11,233f06be2317e80835e120383d9fc7ec1ba29a97efdc0e6a1ac49f6661e6b8a135fc99983c2a813cc04c8c4635313abf,e4b97864c0ee6ccadb8307b7c4ef924c1908c725d352dca20849c9b0134984ad6157a0468cca0679154dfebca8cc5c395d4d6c9c7dea3a2e744b4ba8c223cb36,,,,,logback-core module
Library,,,,"VMware, Inc.",org.springframework.boot,spring-boot-starter-web,3.1.1,,Apache-2.0,,,,pkg:maven/org.springframework.boot/spring-boot-starter-web@3.1.1?type=jar,False,,,,,,,,,,c1e450ad7c1d258780cac1807566663c,0f2c2d9e35430e4b4a98ad91780bb9b2d1deec08,ea6b38b5db586cfab89b73a47518168eff7b20b03ab54371eaa59a6ba8cf8570,dc6b31927978ea5cea3c60844d869b9e0dfbb032ababb64162cbe7e7eb2a8694fe3df575d2678de13f5568cfc9e87ab9,2b48ba17e453349590e2b6382ce18d971632a3ab42cd1d789b5538914f7078bed4e886d6cae1e48454c4aee5d32eba05ce32958c30b166f5e8b9f64e403e5a07,2bca01c3381c15e626d05ef10d08c0dbf6706f7f71ea39a3dd77922568d5b105,cd2af5cdf5fe06963540a04b0f930dcdcee3282fdee27f89dc1dae55b23579ed89fc194439a343f753fca39022647bf9,c8f7c0316a2a5b4aed11ca7aece20e471cd44153ff0b7ea686322a83cc9b4d76b097a882ac49eeaea11046a2a46230e22d766cc813a3e1a4517fd5c89aa573c9,,,,,"Starter for building web, including RESTful, applications using Spring MVC. Uses Tomcat as the default embedded container"
Library,,,,"VMware, Inc.",org.springframework.boot,spring-boot-starter,3.1.1,,Apache-2.0,,,,pkg:maven/org.springframework.boot/spring-boot-starter@3.1.1?type=jar,False,,,,,,,,,,f056bb770cebefe3a635b657a9e70703,cf74eeaef5a265c75dd89fea829391bf08efdb6c,4af9559271ae2b16d66669afe50d06d43d9907ed697f374a3e0f9a852a317291,c3b6124ad5a01b2603eb620f74058055245078c3517c6122cf5907740818543654cc13223567643ca6a3f062f39b928b,16dd852588c86b6c5ed159195a8710138afdb129be24047eb988b38a878dbab8ed5272f5a016a778a3e79a9929bc9b6bd2197f0b6e70d5289ccf560e0a28ecdd,9bc6225e3e943a3377fc451b83beeb8d7075c241686056fff5216c2e4eab51f6,533fbc47222033656da11b196299a8a693e6cde31151801227dbe7d6c53442e17d79f2957f31649903646901cd8c7fb8,a5f3c277433d0817aebcd049548775cb28d920d5540191e9699dd08047a7ea18832abea2668be419d083952c134bc0d6dee24f5ba04950d19b7b3aaf6bd22131,,,,,"Core starter, including auto-configuration support, logging and YAML"
Library,,,,,org.apache.logging.log4j,log4j-to-slf4j,2.20.0,,Apache-2.0,,,,pkg:maven/org.apache.logging.log4j/log4j-to-slf4j@2.20.0?type=jar,False,,,,,,,,,,11a04aba126ad458aee40988935446a5,d37f81f8978e2672bc32c82712ab4b3f66624adc,88e731d7f455da59dfa08769527f87d6c496053a712637df7b999f6977933a2c,465e76a0940b7e1d948bfc2967a7fa8e4b36fa5a57c716dad9f02d1155e52498432882602bedc8d9d16072f429943ee3,961209ca87ba7d0272840bcc46a4177aaa216cc971a42bc6f4ad855c733ab3cae9c7f0fe08ed6197a04b2d4fce3bb428f160ed22365579ed90cd8868c8afd1c1,e1fb05790659108c6dcbaaf61242cc51f7e391d24a35c30fe9e1e6a118aaa8fd,0047d23870c9f5be3b826d52add7c51aa32d9572bcf08f44feb86dab83da6fe9f3da877b35cfbc5e77af9f4dd3eb0f86,0640c4ff54a2344aa2dbdde9e1f6e7fbaa1ecb1713ca70ccfb5e72b26806f9059a94d9bd4eab1bd1a9cfeaadf55036c3d5ab53f5d2bf71cf0cd9e54fb3515437,,,,,The Apache Log4j binding between Log4j 2 API and SLF4J.
Library,,,,,org.apache.tomcat.embed,tomcat-embed-el,10.1.10,,Apache-2.0,,,,pkg:maven/org.apache.tomcat.embed/tomcat-embed-el@10.1.10?type=jar,False,,,,,,,,,,5244288f54bd3cb5f2da1058b5d0003a,717033c0417fdc7e794b382c066b7e78f6029268,125d0bed2f3214d4bb0ab7b5cb8f71db306875feb77c2f0f480d1723b385b8c7,f8bdb593738f402b719e3a81167f5c6692985fff084a30502f41d5036444131dc889f4e5578186340140b8b15ff562ee,6aef30606b9f73fee647349ccba50bf656cd6c9039f1316b9040fd279c729ad1f3b313277b50af6a6b790339ef061060674e94481675af1507424acf81f79aa5,b443f946e28a3a225624e563d821aedab7e905442dff70ca5fce15ada9bd8657,2f8febf4cb334ff44901188f5135d52d5d2ef540c885218c9c4a2c55479df1d19361d8fd7d54c27e267904ef922a781d,f1f3dd16c54315a47ee69d5521fe488885d5d2be0c2d716310f7bf50bb099fa8b36a2b89d2ad9a5ac36cbab6f00fb936b9703f81a9b814955fb79a9121cad996,,,,,Core Tomcat implementation
